p_id,brand_id,name,price,color,brand_name,ratingCount,avg_rating
16394258,454.0,KARIGARI WOMEN BLACK PALAZZOS,699.0,BLACK,KARIGARI,2.0,3.5
17156600,542.0,MALHAAR GREY ETHNIC MOTIFS PRINTED CAMBRIC KURTI,1349.0,GREY,MALHAAR,184.47941042394774,4.101225865898192
17162414,563.0,MELANGE BY LIFESTYLE WOMEN GOLD-TONED SOLID CROPPED TROUSERS,799.0,GOLD,MELANGE BY LIFESTYLE,23.0,3.913043478
17409766,278.0,FABINDIA GIRLS TEAL & GOLD-TONED READY TO WEAR LEHENGA & CHOLI,2599.0,TEAL,FABINDIA,184.47941042394774,4.101225865898192
18121996,583.0,MITERA RED STRIPED SEQUINNED ORGANZA SAREE,5999.0,RED,MITERA,4.0,4.0
18293758,734.0,READIPRINT FASHIONS WOMEN PINK & WHITE EMBROIDERED SEMI-STITCHED DRESS MATERIAL,9000.0,PINK,READIPRINT FASHIONS,184.47941042394774,4.101225865898192
18671776,179.0,CLORA CREATION MAROON EMBROIDERED DUPATTA WITH SEQUINNED,1999.0,MAROON,CLORA CREATION,184.47941042394774,4.101225865898192
18693158,502.0,LC WAIKIKI WOMEN BLUE STRAIGHT FIT PURE COTTON SLASH KNEE JEANS,3199.0,BLUE,LC WAIKIKI,184.47941042394774,4.101225865898192
19082682,147.0,BOSTREET WOMEN PINK ONE SHOULDER TOP WITH LAYERED MINI SKIRT,2799.0,PINK,BOSTREET,184.47941042394774,4.101225865898192
13969870,131.0,BHAMA COUTURE NAVY BLUE & RED EMBROIDERED DETAIL A-LINE TOP,2999.0,NAVY BLUE,BHAMA COUTURE,184.47941042394774,4.101225865898192
15224706,846.0,STYLEE LIFESTYLE GREEN EMBELLISHED SEMI-STITCHED DRESS MATERIAL,13249.0,GREEN,STYLEE LIFESTYLE,184.47941042394774,4.101225865898192
15630126,353.0,H&M WOMEN WHITE RIB-KNIT SWEATER VEST,2299.0,WHITE,H&M,12.0,4.583333333
15834444,787.0,SCORPIUS WOMEN PINK PRINTED CO-ORD SET,3499.0,PINK,SCORPIUS,184.47941042394774,4.101225865898192
15955688,17.0,AARKE RITU KUMAR WOMEN GREY & BROWN STRIPED LONGLINE SHRUG,4400.0,GREY,AARKE RITU KUMAR,184.47941042394774,4.101225865898192
16465406,735.0,REDROUND PINK & BROWN EMBROIDERED BEADS AND STONES SEMI-STITCHED LEHENGA & UNSTITCHED BLOUSE WITH DUPATTA,8569.0,PINK,REDROUND,17.0,3.352941176
16588672,549.0,MARIE CLAIRE WOMEN WHITE & PINK DISTY FLORAL PRINT HIGH-SLIT A-LINE SKIRT,1799.0,WHITE,MARIE CLAIRE,7.0,4.142857143
16683588,958.0,VERO MODA BLUE & WHITE STRIPED CULOTTE JUMPSUIT,3499.0,BLUE,VERO MODA,184.47941042394774,4.101225865898192
17685302,156.0,BUY NEW TREND WOMEN BEIGE CAMOUFLAGE LIGHTWEIGHT CROP TAILORED JACKET WITH PATCHWORK,1499.0,BEIGE,BUY NEW TREND,184.47941042394774,4.101225865898192
17876884,821.0,SILK LAND NAVY BLUE ETHNIC MOTIFS ZARI PURE SILK BANARASI SAREE,2800.0,NAVY BLUE,SILK LAND,6.0,4.666666667
18213498,762.0,SAADGI MAUVE & GOLDEN CHIKANKARI EMBROIDERED DUPATTA,2940.0,MAUVE,SAADGI,184.47941042394774,4.101225865898192
18259672,544.0,MANGO WOMEN ORANGE SOLID STRAIGHT FIT PLEATED TROUSERS,3590.0,ORANGE,MANGO,6.0,4.5
18652028,353.0,H&M BLUE HALTERNECK CROPPED TOP,699.0,BLUE,H&M,36.0,4.638888889
18753060,337.0,GLOBUS WOMEN BLUE & AQUIFER THREAD WORK KURTA,1599.0,BLUE,GLOBUS,184.47941042394774,4.101225865898192
19008458,159.0,CALVIN KLEIN JEANS WOMEN BLUE MOM JEANS,7999.0,BLUE,CALVIN KLEIN JEANS,184.47941042394774,4.101225865898192
19232078,628.0,N-GAL WOMEN WHITE SOLID PENCIL SKIRTS,999.0,WHITE,N-GAL,184.47941042394774,4.101225865898192
11166548,95.0,ATHENA WOMEN BURGUNDY SOLID TAILORED SUEDE JACKET,2999.0,BURGUNDY,ATHENA,184.47941042394774,4.101225865898192
11387448,389.0,INDDUS RED SILK BLEND FRINGED BARDOT CROP TOP,1999.0,RED,INDDUS,1200.0,4.213333333
11928802,846.0,STYLEE LIFESTYLE ORANGE & TURQUOISE BLUE ART SILK SEMI-STITCHED DRESS MATERIAL,10599.0,ORANGE,STYLEE LIFESTYLE,6.0,3.0
11952426,239.0,DRESSBERRY WOMEN LIME GREEN SOLID HOODED SWEATSHIRT,1499.0,YELLOW,DRESSBERRY,207.0,4.367149758
13736992,95.0,ATHENA WOMEN PINK SOLID BASIC JUMPSUIT,2299.0,PINK,ATHENA,17.0,4.705882353
14023484,962.0,VISHUDH WOMEN LIME GREEN FLORAL PRINTED FLORAL KURTA,1249.0,LIME GREEN,VISHUDH,265.0,3.977358491
15242974,535.0,MAFADENY WOMEN BLACK STRIPED LONGLINE SHRUG,1690.0,BLACK,MAFADENY,184.47941042394774,4.101225865898192
17018802,734.0,READIPRINT FASHIONS WOMEN WHITE EMBROIDERED MIRROR WORK LEHENGA & BLOUSE WITH DUPATTA,13700.0,WHITE,READIPRINT FASHIONS,184.47941042394774,4.101225865898192
17367528,998.0,YUFTA BLACK & PINK FLORAL PRINT MANDARIN COLLAR COTTON TOP,1699.0,BLACK,YUFTA,184.47941042394774,4.101225865898192
17371472,114.0,BANNOS SWAGGER WOMEN BROWN TIE AND DYE HOODIE STYLE CO-ORD SET,2399.0,BROWN,BANNOS SWAGGER,184.47941042394774,4.101225865898192
17826592,343.0,GRANCY BLACK READY TO WEAR SAREE,6799.0,BLACK,GRANCY,184.47941042394774,4.101225865898192
18408908,313.0,FOREVER 21 WOMEN CORAL RED SOLID MID-RISE BOOTCUT TROUSERS,1999.0,CORAL,FOREVER 21,184.47941042394774,4.101225865898192
18506406,608.0,NA-KD WOMEN PURPLE LOOSE FIT HIGH-RISE SHORTS,3399.0,PURPLE,NA-KD,184.47941042394774,4.101225865898192
18688438,555.0,MAX WOMEN RED PRINTED SKIRTS,999.0,RED,MAX,184.47941042394774,4.101225865898192
18708630,985.0,WOODLAND WOMEN BLUE MILDLY DISTRESSED LIGHT FADE STRETCHABLE JEANS,3695.0,BLUE,WOODLAND,184.47941042394774,4.101225865898192
19194900,968.0,W WOMEN BRIGHT MULTICOLOURED DUPATTA WITH TASSELS,1399.0,BLUE,W,184.47941042394774,4.101225865898192
11555996,279.0,FABLESTREET WOMEN BEIGE FLARED SOLID CULOTTES,2995.0,BEIGE,FABLESTREET,34.0,3.647058824
13552264,242.0,DUPATTA BAZAAR PINK & GOLD-TONED WOVEN DESIGN DUPATTA,799.0,PINK,DUPATTA BAZAAR,16.0,3.3125
13872488,663.0,PANCHHI CREAM-COLOURED & YELLOW EMBROIDERED SEMI-STITCHED LEHENGA & UNSTITCHED BLOUSE WITH DUPATTA,9999.0,CREAM,PANCHHI,29.0,4.206896552
13891960,363.0,HERE&NOW WOMEN TEAL FLORAL FANTASY TOP,1299.0,TEAL,HERE&NOW,135.0,4.185185185
14692056,283.0,FABRIC FITOOR PEACH-COLOURED & GREY  TIE-UP NECK BELL SLEEVE COTTON EMPIRE TOP,2299.0,PEACH,FABRIC FITOOR,10.0,3.5
15027752,162.0,CAMPUS SUTRA WOMEN GREY WHITE WINDCHEATER QUILTED JACKET,3299.0,GREY,CAMPUS SUTRA,28.0,3.964285714
15962496,153.0,BROOWL WOMEN NAVY BLUE SELF DESIGN EMBELLISHED LONGLINE WINTER SHRUG,5099.0,NAVY BLUE,BROOWL,6.0,5.0
16168314,353.0,H&M WOMEN WHITE RIBBED POLO-NECK JUMPER,2299.0,WHITE,H&M,15.0,3.6
